SeqOrder,sourceID,BodyGroup_from,BodyGroup_to
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_257,KNEE,KNEE
7,MRI_FRR_264,KNEE,KNEE
8,MRI_FRR_257,KNEE,KNEE
9,MRI_FRR_264,KNEE,KNEE
10,MRI_FRR_264,KNEE,KNEE
11,MRI_FRR_34,KNEE,KNEE
12,MRI_FRR_264,KNEE,KNEE
13,MRI_FRR_34,KNEE,KNEE
14,MRI_FRR_257,KNEE,KNEE
15,MRI_MSR_34,KNEE,KNEE
16,MRI_MPT_1005,KNEE,KNEE
17,MRI_EXU_95,KNEE,KNEE
18,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_34,KNEE,KNEE
7,MRI_FRR_257,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_MSR_34,KNEE,KNEE
10,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_257,KNEE,KNEE
7,MRI_FRR_264,KNEE,KNEE
8,MRI_FRR_34,KNEE,KNEE
9,MRI_FRR_257,KNEE,KNEE
10,MRI_MSR_34,KNEE,KNEE
11,MRI_MPT_1005,KNEE,KNEE
12,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_CCS_11,KNEE,KNEE
3,MRI_FRR_264,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_257,KNEE,KNEE
7,MRI_FRR_264,KNEE,KNEE
8,MRI_FRR_34,KNEE,KNEE
9,MRI_FRR_257,KNEE,KNEE
10,MRI_MSR_34,KNEE,KNEE
11,MRI_MPT_1005,KNEE,KNEE
12,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_257,KNEE,KNEE
7,MRI_FRR_264,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_FRR_34,KNEE,KNEE
10,MRI_FRR_264,KNEE,KNEE
11,MRI_MSR_34,KNEE,KNEE
12,MRI_MPT_1005,KNEE,KNEE
13,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_34,KNEE,KNEE
7,MRI_FRR_257,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_MSR_34,KNEE,KNEE
10,MRI_MSR_100,KNEE,KNEE
